STATE/UT,YEAR,TOTAL - Dacoity,TOTAL - Robbery,TOTAL - Burglary,TOTAL - Theft
ANDHRA PRADESH,2001,214,629,7220,16751
ARUNACHAL PRADESH,2001,22,84,248,443
ASSAM,2001,532,687,2423,5367
BIHAR,2001,1291,2203,3233,9701
CHHATTISGARH,2001,87,338,4144,4812
GOA,2001,7,25,359,576
GUJARAT,2001,327,991,5142,15834
HARYANA,2001,77,397,3109,6117
HIMACHAL PRADESH,2001,4,28,844,600
JAMMU & KASHMIR,2001,24,161,1345,1919
JHARKHAND,2001,636,647,1266,3827
KARNATAKA,2001,178,847,6394,12868
KERALA,2001,176,517,4474,5441
MADHYA PRADESH,2001,166,1764,13549,20263
MAHARASHTRA,2001,529,2239,15073,39866
MANIPUR,2001,20,19,75,217
MEGHALAYA,2001,97,125,170,271
MIZORAM,2001,3,23,417,878
NAGALAND,2001,11,129,163,258
ODISHA,2001,199,958,3093,5622
PUNJAB,2001,45,131,1902,3023
RAJASTHAN,2001,60,889,7284,16939
SIKKIM,2001,0,3,76,74
TAMIL NADU,2001,158,672,5965,16709
TRIPURA,2001,26,63,198,259
UTTAR PRADESH,2001,905,3825,8411,27011
UTTARAKHAND,2001,32,191,533,1419
WEST BENGAL,2001,274,660,426,14245
TOTAL (STATES),2001,6100,19245,97536,231310
A & N ISLANDS,2001,0,4,64,65
CHANDIGARH,2001,5,22,364,1529
D & N HAVELI,2001,0,2,34,45
DAMAN & DIU,2001,0,0,43,40
DELHI,2001,48,624,3029,19276
LAKSHADWEEP,2001,0,0,1,10
PUDUCHERRY,2001,1,4,111,528
TOTAL (UTs),2001,54,656,3646,21493
TOTAL (ALL-INDIA),2001,6154,19901,101182,252803
ANDHRA PRADESH,2002,197,648,7628,19222
ARUNACHAL PRADESH,2002,22,96,249,395
ASSAM,2002,473,607,2504,5555
BIHAR,2002,1289,2288,3188,10145
CHHATTISGARH,2002,144,326,3731,4302
GOA,2002,5,24,376,496
GUJARAT,2002,804,1098,5327,15742
HARYANA,2002,61,330,3048,5962
HIMACHAL PRADESH,2002,0,18,710,564
JAMMU & KASHMIR,2002,42,163,1321,2020
JHARKHAND,2002,580,780,1419,4374
KARNATAKA,2002,178,972,6480,13818
KERALA,2002,137,610,4624,5743
MADHYA PRADESH,2002,136,1829,13344,20759
MAHARASHTRA,2002,548,2136,14471,37606
MANIPUR,2002,3,6,44,255
MEGHALAYA,2002,64,109,154,392
MIZORAM,2002,5,7,446,999
NAGALAND,2002,21,110,128,257
ODISHA,2002,246,945,2884,5268
PUNJAB,2002,50,110,1928,2963
RAJASTHAN,2002,47,734,6661,16313
SIKKIM,2002,0,5,66,64
TAMIL NADU,2002,176,653,5533,18755
UTTAR PRADESH,2002,552,2840,6126,22419
UTTARAKHAND,2002,32,177,554,1365
WEST BENGAL,2002,204,544,348,12449
TOTAL (STATES),2002,6016,18165,93292,228202
A & N ISLANDS,2002,1,7,49,49
CHANDIGARH,2002,1,26,336,1647
D & N HAVELI,2002,3,1,38,75
DAMAN & DIU,2002,2,1,56,56
DELHI,2002,47,502,2360,16625
LAKSHADWEEP,2002,0,0,9,12
PUDUCHERRY,2002,2,6,129,526
TOTAL (UTs),2002,56,543,2977,18990
TOTAL (ALL-INDIA),2002,6072,18708,96269,247192
ANDHRA PRADESH,2003,176,660,9050,23408
ARUNACHAL PRADESH,2003,37,60,253,370
ASSAM,2003,471,523,2606,5525
BIHAR,2003,1221,2463,2986,10124
CHHATTISGARH,2003,140,331,3621,4170
GOA,2003,5,21,257,464
GUJARAT,2003,338,1267,5844,19304
HARYANA,2003,63,281,2981,5591
HIMACHAL PRADESH,2003,8,19,707,627
JAMMU & KASHMIR,2003,23,154,1526,1949
JHARKHAND,2003,702,864,1468,4155
KARNATAKA,2003,220,861,6055,14180
KERALA,2003,142,634,4409,4891
MADHYA PRADESH,2003,153,1578,12884,20422
MAHARASHTRA,2003,514,2096,13892,37098
MANIPUR,2003,3,6,68,252
MEGHALAYA,2003,83,133,160,360
MIZORAM,2003,5,21,487,1303
NAGALAND,2003,19,92,95,221
ODISHA,2003,178,875,2961,5359
PUNJAB,2003,30,108,2094,3198
RAJASTHAN,2003,36,655,6072,16456
SIKKIM,2003,2,3,48,65
TAMIL NADU,2003,95,514,4849,18213
TRIPURA,2003,36,69,167,276
UTTAR PRADESH,2003,317,1988,4016,15751
UTTARAKHAND,2003,26,160,557,1368
WEST BENGAL,2003,217,598,342,12613
TOTAL (STATES),2003,5260,17034,90455,227713
A & N ISLANDS,2003,2,7,56,60
CHANDIGARH,2003,3,12,204,1238
D & N HAVELI,2003,4,6,41,61
DAMAN & DIU,2003,4,1,41,46
DELHI,2003,28,441,1898,15544
LAKSHADWEEP,2003,0,0,6,8
PUDUCHERRY,2003,2,11,126,567
TOTAL (UTs),2003,43,478,2372,17524
TOTAL (ALL-INDIA),2003,5303,17512,92827,245237
ANDHRA PRADESH,2004,199,596,8457,23578
ARUNACHAL PRADESH,2004,30,45,215,388
ASSAM,2004,360,505,2544,5866
BIHAR,2004,1319,2986,3175,11113
CHHATTISGARH,2004,106,363,3720,5014
GOA,2004,5,18,261,503
GUJARAT,2004,360,1136,5828,18551
HARYANA,2004,52,244,2786,6558
HIMACHAL PRADESH,2004,1,25,766,643
JAMMU & KASHMIR,2004,28,129,1420,1939
JHARKHAND,2004,580,780,1419,4374
KARNATAKA,2004,177,1024,6093,16093
KERALA,2004,129,639,4580,5240
MADHYA PRADESH,2004,147,1526,12308,22586
MAHARASHTRA,2004,629,2229,14659,43952
MANIPUR,2004,2,3,66,244
MEGHALAYA,2004,91,81,142,418
MIZORAM,2004,10,6,250,610
NAGALAND,2004,14,117,70,255
ODISHA,2004,238,952,2992,5967
PUNJAB,2004,17,86,1766,2587
RAJASTHAN,2004,58,673,5911,18842
SIKKIM,2004,0,5,64,73
TAMIL NADU,2004,72,464,4147,17530
TRIPURA,2004,27,46,166,260
UTTAR PRADESH,2004,378,2606,5299,22524
UTTARAKHAND,2004,37,165,566,1597
WEST BENGAL,2004,212,535,547,14465
TOTAL (STATES),2004,5278,17984,90217,251770
A & N ISLANDS,2004,0,3,69,103
CHANDIGARH,2004,0,6,186,1459
D & N HAVELI,2004,3,2,20,53
DAMAN & DIU,2004,0,1,35,27
DELHI,2004,30,461,1875,18994
LAKSHADWEEP,2004,0,0,2,5
PUDUCHERRY,2004,0,1,86,634
TOTAL (UTs),2004,33,474,2273,21275
TOTAL (ALL-INDIA),2004,5311,18458,92490,273045
ANDHRA PRADESH,2005,250,794,7954,23778
ARUNACHAL PRADESH,2005,23,77,263,531
ASSAM,2005,334,451,2255,6369
BIHAR,2005,1212,2374,3117,10812
CHHATTISGARH,2005,204,401,3621,5600
GOA,2005,2,28,265,495
GUJARAT,2005,282,966,5332,17964
HARYANA,2005,88,390,3437,8694
HIMACHAL PRADESH,2005,6,22,696,696
JAMMU & KASHMIR,2005,13,116,1397,1901
JHARKHAND,2005,592,732,1610,6195
KARNATAKA,2005,208,1202,5986,17008
KERALA,2005,110,621,4110,5454
MADHYA PRADESH,2005,147,1557,11192,20685
MAHARASHTRA,2005,641,2411,15615,46851
MANIPUR,2005,4,8,62,243
MEGHALAYA,2005,81,95,148,476
MIZORAM,2005,3,6,442,777
NAGALAND,2005,12,80,93,294
ODISHA,2005,184,998,3029,6743
PUNJAB,2005,27,85,1933,2924
RAJASTHAN,2005,41,590,5227,17898
SIKKIM,2005,2,4,85,81
TAMIL NADU,2005,73,437,3738,15851
TRIPURA,2005,22,61,170,325
UTTAR PRADESH,2005,286,2049,4556,20695
UTTARAKHAND,2005,48,159,521,1630
WEST BENGAL,2005,211,426,739,12124
TOTAL (STATES),2005,5106,17140,87593,253094
A & N ISLANDS,2005,0,4,68,92
CHANDIGARH,2005,0,12,223,1373
D & N HAVELI,2005,3,2,25,74
DAMAN & DIU,2005,4,0,37,50
DELHI,2005,27,510,2093,17955
LAKSHADWEEP,2005,0,0,2,7
PUDUCHERRY,2005,1,5,67,466
TOTAL (UTs),2005,35,533,2515,20017
TOTAL (ALL-INDIA),2005,5141,17673,90108,273111
ANDHRA PRADESH,2006,178,679,8304,23510
ARUNACHAL PRADESH,2006,28,74,257,451
ASSAM,2006,319,544,2911,7820
BIHAR,2006,1001,2169,3531,11752
CHHATTISGARH,2006,160,439,3507,5262
GOA,2006,7,17,252,494
GUJARAT,2006,290,970,5530,18475
HARYANA,2006,104,410,4001,10518
HIMACHAL PRADESH,2006,7,29,754,812
JAMMU & KASHMIR,2006,10,112,1351,1937
JHARKHAND,2006,536,779,1428,6173
KARNATAKA,2006,202,1349,5967,14901
KERALA,2006,129,691,4245,5431
MADHYA PRADESH,2006,151,1770,10960,21733
MAHARASHTRA,2006,663,2574,15877,46473
MANIPUR,2006,2,8,55,290
MEGHALAYA,2006,57,65,140,470
MIZORAM,2006,7,10,422,758
NAGALAND,2006,16,84,70,327
ODISHA,2006,239,1184,3120,6567
PUNJAB,2006,35,142,2277,3946
RAJASTHAN,2006,37,631,5085,17889
SIKKIM,2006,0,9,84,113
TAMIL NADU,2006,95,450,3300,13651
TRIPURA,2006,18,71,182,392
UTTAR PRADESH,2006,218,2024,4577,20447
UTTARAKHAND,2006,31,157,470,1696
WEST BENGAL,2006,177,426,601,12532
TOTAL (STATES),2006,4717,17867,89258,254820
