STATE/UT,DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total
ANDHRA PRADESH,TOTAL,2001,35,84,57,0,7,22,12,0,0,6,47,270
ARUNACHAL PRADESH,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,TOTAL,2001,0,0,18,0,0,0,0,0,0,0,0,18
BIHAR,TOTAL,2001,2,16,26,0,0,1,16,1,1,2,18,83
GOA,TOTAL,2001,1,10,6,0,0,3,2,0,0,0,12,34
GUJARAT,TOTAL,2001,78,39,120,4,0,112,18,0,0,11,190,572
HARYANA,TOTAL,2001,31,108,124,3,0,16,5,0,2,0,74,363
HIMACHAL PRADESH,TOTAL,2001,5,35,20,0,0,15,0,0,0,0,7,82
JAMMU & KASHMIR,TOTAL,2001,2,6,15,0,0,4,0,0,0,0,1,28
JHARKHAND,TOTAL,2001,5,11,4,0,0,0,1,0,0,0,20,41
KARNATAKA,TOTAL,2001,3,18,18,1,0,15,1,0,2,1,9,68
KERALA,TOTAL,2001,76,64,28,0,0,9,4,0,0,3,63,247
MADHYA PRADESH,TOTAL,2001,103,390,100,7,8,69,4,0,0,4,740,1425
MAHARASHTRA,TOTAL,2001,203,367,210,17,4,281,21,1,1,43,473,1621
MANIPUR,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,TOTAL,2001,2,17,22,0,4,1,0,0,0,0,22,68
PUNJAB,TOTAL,2001,20,38,35,7,0,3,7,0,0,0,13,123
RAJASTHAN,TOTAL,2001,19,35,62,8,1,54,0,0,0,10,29,218
SIKKIM,TOTAL,2001,1,4,0,0,0,0,0,0,0,0,0,5
TAMIL NADU,TOTAL,2001,24,20,7,0,1,1,0,0,0,0,8,61
TRIPURA,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,TOTAL,2001,489,562,1185,1,0,0,29,1,1,1,1440,3709
UTTARAKHAND,TOTAL,2001,9,9,16,0,0,0,7,0,0,0,5,46
WEST BENGAL,TOTAL,2001,3,12,86,0,0,0,9,3,2,0,52,167
A & N ISLANDS,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,TOTAL,2001,0,8,32,0,0,5,0,0,0,2,11,58
D & N HAVELI,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,DELHI UT TOTAL,2001,22,113,612,2,0,60,3,0,1,0,99,912
LAKSHADWEEP,TOTAL,2001,1,0,0,0,0,0,0,0,0,0,0,1
PUDUCHERRY,TOTAL,2001,1,4,0,0,0,0,0,0,0,0,0,5
ANDHRA PRADESH,TOTAL,2002,43,137,86,0,13,5,9,1,0,6,33,333
ARUNACHAL PRADESH,TOTAL,2002,0,3,3,0,0,0,0,0,0,0,0,6
ASSAM,TOTAL,2002,2,3,1,0,0,0,6,0,0,1,1,14
BIHAR,TOTAL,2002,10,3,26,1,0,1,9,0,0,1,6,57
CHHATTISGARH,TOTAL,2002,28,182,45,0,1,17,0,0,0,26,434,733
GOA,TOTAL,2002,2,7,4,0,0,5,2,0,0,0,11,31
GUJARAT,TOTAL,2002,68,67,273,9,1,76,0,0,0,38,178,710
HARYANA,TOTAL,2002,22,84,54,6,0,15,0,0,1,1,52,235
HIMACHAL PRADESH,TOTAL,2002,5,26,24,6,0,8,3,0,0,3,16,91
JAMMU & KASHMIR,TOTAL,2002,2,7,23,2,0,4,0,0,0,0,4,42
JHARKHAND,TOTAL,2002,3,43,21,0,0,0,5,0,0,0,39,111
KARNATAKA,TOTAL,2002,28,19,23,7,0,10,7,0,1,1,18,114
KERALA,TOTAL,2002,64,54,31,2,0,9,6,0,0,6,68,240
MADHYA PRADESH,TOTAL,2002,94,517,154,4,1,91,5,0,1,2,1460,2329
MAHARASHTRA,TOTAL,2002,248,491,275,10,6,282,34,8,1,18,487,1860
MANIPUR,TOTAL,2002,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,TOTAL,2002,0,1,0,0,0,0,0,0,0,0,0,1
MIZORAM,TOTAL,2002,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,TOTAL,2002,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,TOTAL,2002,7,21,8,0,0,0,4,0,0,0,16,56
PUNJAB,TOTAL,2002,13,52,62,10,0,0,5,0,0,1,18,161
RAJASTHAN,TOTAL,2002,20,38,52,6,0,79,2,0,0,7,0,204
SIKKIM,TOTAL,2002,2,4,0,0,0,0,0,0,0,0,0,6
TAMIL NADU,TOTAL,2002,45,29,29,0,0,5,0,0,0,0,27,135
TRIPURA,TOTAL,2002,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,TOTAL,2002,424,416,539,1,0,0,4,0,0,2,440,1826
UTTARAKHAND,TOTAL,2002,7,8,3,0,0,0,9,0,0,0,0,27
WEST BENGAL,TOTAL,2002,4,16,94,0,0,0,14,0,1,0,46,175
A & N ISLANDS,TOTAL,2002,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,TOTAL,2002,3,6,22,0,1,8,0,0,0,0,9,49
D & N HAVELI,TOTAL,2002,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,TOTAL,2002,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,DELHI UT TOTAL,2002,29,138,426,20,0,29,0,0,0,0,55,697
LAKSHADWEEP,TOTAL,2002,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,TOTAL,2002,2,4,4,0,1,0,0,0,0,0,6,17
ANDHRA PRADESH,TOTAL,2003,119,383,373,0,3,36,46,0,1,4,498,1463
