STATE/UT,Year,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs
ANDHRA PRADESH,2001,4,21,5,0,0,1,106,26,129,220
ARUNACHAL PRADESH,2001,4,5,7,0,0,1,18,0,0,37
ASSAM,2001,0,0,0,0,0,0,0,0,0,0
BIHAR,2001,1,4,1,0,0,0,5,8,10,18
CHHATTISGARH,2001,18,87,5,1,7,1,63,2,6,296
GOA,2001,0,0,0,0,0,0,0,0,0,0
GUJARAT,2001,7,23,6,12,33,5,47,3,90,83
HARYANA,2001,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2001,0,0,0,0,0,0,0,0,2,2
JAMMU & KASHMIR,2001,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2001,20,22,6,0,4,64,28,0,20,118
KARNATAKA,2001,1,2,0,0,0,1,21,13,204,34
KERALA,2001,4,23,0,0,0,0,20,0,14,22
MADHYA PRADESH,2001,28,238,14,0,3,7,195,2,243,805
MAHARASHTRA,2001,6,60,4,0,0,3,14,0,41,110
MANIPUR,2001,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2001,0,0,0,0,0,0,0,0,0,0
MIZORAM,2001,0,2,1,1,0,1,5,0,0,0
NAGALAND,2001,46,6,5,2,24,0,17,0,0,210
ODISHA,2001,4,28,6,0,2,4,124,4,153,409
PUNJAB,2001,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2001,14,45,7,0,0,14,88,0,665,190
SIKKIM,2001,6,0,0,0,0,0,0,0,0,0
TAMIL NADU,2001,0,2,0,0,0,3,2,0,2,0
TRIPURA,2001,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2001,3,3,0,0,0,3,2,0,75,168
UTTARAKHAND,2001,1,1,0,0,0,0,1,0,9,6
WEST BENGAL,2001,0,1,0,0,0,0,0,0,1,0
A & N ISLANDS,2001,0,0,0,0,0,0,0,0,0,1
CHANDIGARH,2001,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2001,0,0,0,0,0,0,0,0,3,3
DAMAN & DIU,2001,0,0,0,0,0,0,0,0,0,0
DELHI,2001,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2001,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2001,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2002,2,24,6,0,0,2,88,39,134,230
ARUNACHAL PRADESH,2002,2,2,10,0,1,0,15,0,0,57
ASSAM,2002,6,2,2,0,2,0,11,0,0,16
BIHAR,2002,5,5,0,0,0,0,3,4,6,6
CHHATTISGARH,2002,12,67,4,0,0,10,47,3,101,264
GOA,2002,0,0,0,0,0,0,0,0,0,0
GUJARAT,2002,16,18,4,18,28,3,81,1,97,74
HARYANA,2002,0,0,0,0,0,0,0,0,0,5
HIMACHAL PRADESH,2002,0,1,0,0,0,0,0,0,0,2
JAMMU & KASHMIR,2002,0,0,0,0,0,1,0,0,0,5
JHARKHAND,2002,11,13,7,0,1,0,9,0,40,43
KARNATAKA,2002,8,5,1,2,0,1,22,0,134,67
KERALA,2002,1,21,0,0,0,0,26,0,35,19
MADHYA PRADESH,2002,49,312,16,1,6,11,290,0,310,1509
MAHARASHTRA,2002,10,48,6,0,1,5,22,0,53,126
MANIPUR,2002,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,2002,0,1,1,0,0,0,0,0,0,0
MIZORAM,2002,4,9,1,2,5,7,12,0,0,0
NAGALAND,2002,38,8,2,13,13,0,20,0,0,277
ODISHA,2002,10,14,2,1,4,4,75,0,189,181
PUNJAB,2002,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,2002,10,39,6,0,1,14,58,0,667,135
SIKKIM,2002,0,2,1,0,0,0,7,0,0,0
TAMIL NADU,2002,0,1,0,0,0,0,2,0,3,71
TRIPURA,2002,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,2002,4,0,0,0,0,0,0,0,23,34
UTTARAKHAND,2002,1,0,0,0,0,0,0,0,2,0
WEST BENGAL,2002,0,4,0,0,0,0,0,0,6,2
A & N ISLANDS,2002,0,0,0,0,0,0,0,0,0,1
CHANDIGARH,2002,0,0,0,0,0,0,0,0,0,0
D & N HAVELI,2002,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,2002,0,0,0,0,0,0,0,0,0,0
DELHI,2002,0,0,0,0,0,0,0,0,0,0
LAKSHADWEEP,2002,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2002,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2003,9,32,3,0,1,2,134,21,150,219
ARUNACHAL PRADESH,2003,0,9,7,0,0,2,22,0,0,26
ASSAM,2003,2,2,2,0,0,0,7,1,0,6
BIHAR,2003,3,3,0,0,0,0,8,6,19,13
CHHATTISGARH,2003,13,103,6,9,1,1,57,0,221,363
GOA,2003,0,0,0,0,0,0,0,0,0,0
GUJARAT,2003,5,20,9,7,16,0,51,0,69,64
HARYANA,2003,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2003,1,2,1,1,0,0,0,0,1,6
JAMMU & KASHMIR,2003,0,0,0,0,0,0,0,0,0,1
JHARKHAND,2003,32,14,2,0,1,1,18,0,5,35
KARNATAKA,2003,5,2,0,0,0,0,12,5,108,35
KERALA,2003,0,10,1,0,0,1,18,0,10,25
MADHYA PRADESH,2003,34,263,16,0,2,10,235,0,252,967
MAHARASHTRA,2003,8,34,2,0,1,4,12,0,50,106
